SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Capacity,Filter_Star,Filter_Type,Filter_Ideal for Family size,Filter_Defrosting type,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BD,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT80F51C2F,74990,,,Black Doi,467L,2,Double Door,,Twin Cooling ,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt80f51c2fhl/gallery/in-bespoke-ai-refrigerator-tmf-convertible-5in1-rt80f51c2fhl-548671924?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rt80f51c2fhl/gallery/in-bespoke-ai-refrigerator-tmf-convertible-5in1-rt80f51c2fhl-thumb-546061862?$64_64_PNG$,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BG,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT80F51C2B,82990,,,Black Glass,467L,2,Double Door,,Twin Cooling ,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT80F51C2S,74990,,,Real Stainless,467L,2,Double Door,,Twin Cooling ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT56DG7A6ASL,94990,,,Real Stainless,530L,1,Double Door,,Twin Cooling ,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-2-Door,Samsung Bespoke AI Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT56DG7A6AB,94990,,,Black Matt,530L,1,Double Door,,Twin Cooling ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-EI,SAM-REF-Convertible-2Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT28C3733S8,40990,,,Elegant Inox,236L,3,Double Door,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-LB,SAM-REF-Convertible-2Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT28C3733BX,41990,,,Luxe Black,236L,3,Double Door,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-Convertible-2Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT28C3733B1,41990,,,Black Matt,236L,3,Double Door,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-RS,SAM-REF-Convertible-2Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT28C3733SL,41990,,,Real Stainless,236L,3,Double Door,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-LB,SAM-REF-Convertible-2Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT30C3733BX,44990,,,Luxe Black,256L,3,Double Door,,,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt30c3733bx-hl/gallery/in-top-mount-freezer-convertible-freezer-rt30c3733bx-hl-549006742?$684_547_PNG$,,,,,,,,,,,,,,
