SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Control type,Filter_Star,Filter_Type,Filter_Capacity,Filter_Power Consumption,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_MWV_OVEN-T,SAM-23L-Microwave Oven, Samsung Quick Defrost Solo Microwave Oven,Samsung,Oven,Home & Kitchen appliances,MS23A3513AK,10800,,,Transparent,Tact,,Solo,23L,1150 W,,,,https://images.samsung.com/is/image/samsung/p6pim/in/ms23a3513ak-tl/gallery/in-ms23a3513-solo-mwo-with-quick-defrost-23l-ms23a3513ak-tl-531751385?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/ms23a3513ak-tl/gallery/in-ms23a3513-solo-mwo-with-quick-defrost-23l-ms23a3513ak-tl-thumb-531751374?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=800,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=801,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=801,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=802,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=802,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=803,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=803,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=804,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=804,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=805,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=805,,,,,,,,,,,,,
