Column 1,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Storage,Attribute_RAM,Filter_OS,Filter_Screen_Size_inch,Filter_Display_Type,Filter included softwear,Filter_Processor,Filter_Battery_mAh,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_Book4 ULT-1TB-G,SAM-Book4 ULT Evo AI,Samsung Galaxy Book4 Ultra Evo AI,Samsung,Laptop,Laptop & Computers,NP960XGL-XG1,172489,,,Gray,1TB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Displa,MS Office Home and Student 2022,Intel Core Ultra 7 155H/NVIDIA GeForce RTX 4050,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/p6pim/in/np960xgl-xg1in/gallery/in-galaxy-book4-ultra-16-inch-np960-np960xgl-xg1in-541771883?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np960xgl-xg1in/gallery/in-galaxy-book4-ultra-16-inch-np960-np960xgl-xg1in-541771869?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book4 ULT-1TB-G,SAM-Book4 ULT Evo AI,Samsung Galaxy Book4 Ultra Evo AI,Samsung,Laptop,Laptop & Computers,NP960XGL-XG2,,,,Gray,1TB,32GB,Windows 11 Home,16,,,Intel Core Ultra 7 185H/NVIDIA GeForce RTX 4070,4 Cell Lithium Ion,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_Book5-512GB-G,SAM-Book5 ,Samsung Galaxy Book5,Samsung,Laptop,Laptop & Computers,NP750XHD-KD1,99990,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Color-Selection_UK_Gray_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Whatsinthebox_IN_Gray_PC.jpg?imbypass=true,,,,,,,,,,,,,
SAM_Book5-512GB-G,SAM-Book5 ,Samsung Galaxy Book5,Samsung,Laptop,Laptop & Computers,NP750XHD-KD2,109990,,,Gray,512GB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,Intel  Core Ultra 5 processor 225U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Color-Selection_UK_Gray_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Whatsinthebox_IN_Gray_PC.jpg?imbypass=true,,,,,,,,,,,,,
SAM_Book5-1TB-G,SAM-Book5 ,Samsung Galaxy Book5,Samsung,Laptop,Laptop & Computers,NP750XHD-KD3,127990,,,Gray,1TB,16GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,Intel  Core Ultra 7 processor 255U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Color-Selection_UK_Gray_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Whatsinthebox_IN_Gray_PC.jpg?imbypass=true,,,,,,,,,,,,,
SAM_Book5-1TB-G,SAM-Book5 ,Samsung Galaxy Book5,Samsung,Laptop,Laptop & Computers,NP750XHD-KD4,,,,Gray,1TB,32GB,Windows 11 Home,15.6,Full HD LCD Display,MS Office,Intel  Core Ultra 7 processor 255U,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Color-Selection_UK_Gray_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book/galaxy-book5/buy/Galaxy-Book5-Whatsinthebox_IN_Gray_PC.jpg?imbypass=true,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_Book5  Pro-512GB-G,SAM-Book5 Pro,Samsung Galaxy Book5Pro,Samsung,Laptop,Laptop & Computers,NP940XHA-LG1,187190,,,Gray,512GB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Display,MS Office,Intel  Core Ultra 7 processor 226V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Color_selection_Gray_16inch_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Gray_WIB_16inch_IN_PC.jpg?imbypass=true,,,,,,,,,,,,,
SAM_Book5 Pro-512GB-G,SAM-Book5 Pro,Samsung Galaxy Book5Pro,Samsung,Laptop,Laptop & Computers,NP940XHA-LG2,167990,,,Gray,512GB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Display,MS Office,Intel  Core Ultra 7 processor 256V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Color_selection_Gray_16inch_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Gray_WIB_16inch_IN_PC.jpg?imbypass=true,,,,,,,,,,,,,
